 2022-12-01 03:07:42,145 - 'h'
 2022-12-01 03:07:42,266 - 'e'
 2022-12-01 03:07:42,419 - 'l'
 2022-12-01 03:07:42,545 - 'l'
 2022-12-01 03:07:42,715 - 'o'
 2022-12-01 03:07:43,156 - Key.space
 2022-12-01 03:07:43,470 - 'm'
 2022-12-01 03:07:43,665 - 'y'
 2022-12-01 03:07:44,600 - Key.space
 2022-12-01 03:07:45,444 - 'b'
 2022-12-01 03:07:45,625 - 'o'
 2022-12-01 03:07:45,827 - 'i'
 2022-12-01 03:07:46,138 - 'i'
 2022-12-01 03:07:46,276 - 'i'
 2022-12-01 03:07:56,268 - 's'
 2022-12-01 03:07:56,518 - 't'
 2022-12-01 03:07:56,536 - 'o'
 2022-12-01 03:07:56,566 - 'g'
 2022-12-01 03:07:57,004 - 'p'
 2022-12-01 03:07:57,334 - Key.enter
 2022-12-01 03:18:53,591 - 'b'
 2022-12-01 03:18:53,676 - 'o'
 2022-12-01 03:18:53,800 - 'b'
 2022-12-01 03:18:53,873 - 'o'
 2022-12-01 03:18:54,203 - Key.backspace
 2022-12-01 03:18:54,369 - Key.backspace
 2022-12-01 03:18:54,513 - Key.backspace
 2022-12-01 03:18:54,888 - Key.backspace
 2022-12-01 03:19:01,578 - 'j'
 2022-12-01 03:19:01,628 - Key.enter
